G1	G2	G3	G4	G5	G6	G7	G9	G10
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7630558	5.2496559	0.7463851	0.0822251	0.9585737	0.9982339	1.0000000	0.4987792	0.9000005
0.7630555	5.2501351	0.6997644	0.0796314	0.9585737	0.9982339	1.0000000	0.4987792	0.8000002
0.7630554	5.2508660	0.6418117	0.0755428	0.9585737	0.9982339	1.0000000	0.4987792	0.7000001
0.7630554	5.2519908	0.5701472	0.0688270	0.9585737	0.9982339	1.0000000	0.4987793	0.6000000
0.7630554	5.2536426	0.4829484	0.0576697	0.9585737	0.9982339	1.0000000	0.4987793	0.5000000
0.7630553	5.2556048	0.3805951	0.0408088	0.9585737	0.9982339	1.0000000	0.4987793	0.4000000
0.7630553	5.2569744	0.2685854	0.0226153	0.9585737	0.9982339	1.0000000	0.4987793	0.3000000
0.7630553	5.2573923	0.1609875	0.0125384	0.9585737	0.9982339	1.0000000	0.4987793	0.2000000
0.7630554	5.2574534	0.0806974	0.0102524	0.9585737	0.9982339	1.0000000	0.4987793	0.1000000
0.7630553	5.2574583	0.0509779	0.0100530	0.9585737	0.9982339	1.0000000	0.4987793	0.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7630558	5.2496559	0.7463851	0.0822251	0.9585737	0.9982339	1.0000000	0.4987792	0.9000005
0.7630555	5.2501351	0.6997644	0.0796314	0.9585737	0.9982339	1.0000000	0.4987792	0.8000002
0.7630554	5.2508660	0.6418117	0.0755428	0.9585737	0.9982339	1.0000000	0.4987792	0.7000001
0.7630554	5.2519908	0.5701472	0.0688270	0.9585737	0.9982339	1.0000000	0.4987793	0.6000000
0.7630554	5.2536426	0.4829484	0.0576697	0.9585737	0.9982339	1.0000000	0.4987793	0.5000000
0.7630553	5.2556048	0.3805951	0.0408088	0.9585737	0.9982339	1.0000000	0.4987793	0.4000000
0.7630553	5.2569744	0.2685854	0.0226153	0.9585737	0.9982339	1.0000000	0.4987793	0.3000000
0.7630553	5.2573923	0.1609875	0.0125384	0.9585737	0.9982339	1.0000000	0.4987793	0.2000000
0.7630554	5.2574534	0.0806974	0.0102524	0.9585737	0.9982339	1.0000000	0.4987793	0.1000000
0.7630553	5.2574583	0.0509779	0.0100530	0.9585737	0.9982339	1.0000000	0.4987793	0.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7630558	5.2496559	0.7463851	0.0822251	0.9585737	0.9982339	1.0000000	0.4987792	0.9000005
0.7630555	5.2501351	0.6997644	0.0796314	0.9585737	0.9982339	1.0000000	0.4987792	0.8000002
0.7630554	5.2508660	0.6418117	0.0755428	0.9585737	0.9982339	1.0000000	0.4987792	0.7000001
0.7630554	5.2519908	0.5701472	0.0688270	0.9585737	0.9982339	1.0000000	0.4987793	0.6000000
0.7630554	5.2536426	0.4829484	0.0576697	0.9585737	0.9982339	1.0000000	0.4987793	0.5000000
0.7630553	5.2556048	0.3805951	0.0408088	0.9585737	0.9982339	1.0000000	0.4987793	0.4000000
0.7630553	5.2569744	0.2685854	0.0226153	0.9585737	0.9982339	1.0000000	0.4987793	0.3000000
0.7630553	5.2573923	0.1609875	0.0125384	0.9585737	0.9982339	1.0000000	0.4987793	0.2000000
0.7630554	5.2574534	0.0806974	0.0102524	0.9585737	0.9982339	1.0000000	0.4987793	0.1000000
0.7630553	5.2574583	0.0509779	0.0100530	0.9585737	0.9982339	1.0000000	0.4987793	0.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7630558	5.2496559	0.7463851	0.0822251	0.9585737	0.9982339	1.0000000	0.4987792	0.9000005
0.7630555	5.2501351	0.6997644	0.0796314	0.9585737	0.9982339	1.0000000	0.4987792	0.8000002
0.7630554	5.2508660	0.6418117	0.0755428	0.9585737	0.9982339	1.0000000	0.4987792	0.7000001
0.7630554	5.2519908	0.5701472	0.0688270	0.9585737	0.9982339	1.0000000	0.4987793	0.6000000
0.7630554	5.2536426	0.4829484	0.0576697	0.9585737	0.9982339	1.0000000	0.4987793	0.5000000
0.7630553	5.2556048	0.3805951	0.0408088	0.9585737	0.9982339	1.0000000	0.4987793	0.4000000
0.7630553	5.2569744	0.2685854	0.0226153	0.9585737	0.9982339	1.0000000	0.4987793	0.3000000
0.7630553	5.2573923	0.1609875	0.0125384	0.9585737	0.9982339	1.0000000	0.4987793	0.2000000
0.7630554	5.2574534	0.0806974	0.0102524	0.9585737	0.9982339	1.0000000	0.4987793	0.1000000
0.7630553	5.2574583	0.0509779	0.0100530	0.9585737	0.9982339	1.0000000	0.4987793	0.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7630558	5.2496559	0.7463851	0.0822251	0.9585737	0.9982339	1.0000000	0.4987792	0.9000005
0.7630555	5.2501351	0.6997644	0.0796314	0.9585737	0.9982339	1.0000000	0.4987792	0.8000002
0.7630554	5.2508660	0.6418117	0.0755428	0.9585737	0.9982339	1.0000000	0.4987792	0.7000001
0.7630554	5.2519908	0.5701472	0.0688270	0.9585737	0.9982339	1.0000000	0.4987793	0.6000000
0.7630554	5.2536426	0.4829484	0.0576697	0.9585737	0.9982339	1.0000000	0.4987793	0.5000000
0.7630553	5.2556048	0.3805951	0.0408088	0.9585737	0.9982339	1.0000000	0.4987793	0.4000000
0.7630553	5.2569744	0.2685854	0.0226153	0.9585737	0.9982339	1.0000000	0.4987793	0.3000000
0.7630553	5.2573923	0.1609875	0.0125384	0.9585737	0.9982339	1.0000000	0.4987793	0.2000000
0.7630554	5.2574534	0.0806974	0.0102524	0.9585737	0.9982339	1.0000000	0.4987793	0.1000000
0.7630553	5.2574583	0.0509779	0.0100530	0.9585737	0.9982339	1.0000000	0.4987793	0.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7630558	5.2496559	0.7463851	0.0822251	0.9585737	0.9982339	1.0000000	0.4987792	0.9000005
0.7630555	5.2501351	0.6997644	0.0796314	0.9585737	0.9982339	1.0000000	0.4987792	0.8000002
0.7630554	5.2508660	0.6418117	0.0755428	0.9585737	0.9982339	1.0000000	0.4987792	0.7000001
0.7630554	5.2519908	0.5701472	0.0688270	0.9585737	0.9982339	1.0000000	0.4987793	0.6000000
0.7630554	5.2536426	0.4829484	0.0576697	0.9585737	0.9982339	1.0000000	0.4987793	0.5000000
0.7630553	5.2556048	0.3805951	0.0408088	0.9585737	0.9982339	1.0000000	0.4987793	0.4000000
0.7630553	5.2569744	0.2685854	0.0226153	0.9585737	0.9982339	1.0000000	0.4987793	0.3000000
0.7630553	5.2573923	0.1609875	0.0125384	0.9585737	0.9982339	1.0000000	0.4987793	0.2000000
0.7630554	5.2574534	0.0806974	0.0102524	0.9585737	0.9982339	1.0000000	0.4987793	0.1000000
0.7630553	5.2574583	0.0509779	0.0100530	0.9585737	0.9982339	1.0000000	0.4987793	0.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7630558	5.2496559	0.7463851	0.0822251	0.9585737	0.9982339	1.0000000	0.4987792	0.9000005
0.7630555	5.2501351	0.6997644	0.0796314	0.9585737	0.9982339	1.0000000	0.4987792	0.8000002
0.7630554	5.2508660	0.6418117	0.0755428	0.9585737	0.9982339	1.0000000	0.4987792	0.7000001
0.7630554	5.2519908	0.5701472	0.0688270	0.9585737	0.9982339	1.0000000	0.4987793	0.6000000
0.7630554	5.2536426	0.4829484	0.0576697	0.9585737	0.9982339	1.0000000	0.4987793	0.5000000
0.7630553	5.2556048	0.3805951	0.0408088	0.9585737	0.9982339	1.0000000	0.4987793	0.4000000
0.7630553	5.2569744	0.2685854	0.0226153	0.9585737	0.9982339	1.0000000	0.4987793	0.3000000
0.7630553	5.2573923	0.1609875	0.0125384	0.9585737	0.9982339	1.0000000	0.4987793	0.2000000
0.7630554	5.2574534	0.0806974	0.0102524	0.9585737	0.9982339	1.0000000	0.4987793	0.1000000
0.7630553	5.2574583	0.0509779	0.0100530	0.9585737	0.9982339	1.0000000	0.4987793	0.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7630558	5.2496559	0.7463851	0.0822251	0.9585737	0.9982339	1.0000000	0.4987792	0.9000005
0.7630555	5.2501351	0.6997644	0.0796314	0.9585737	0.9982339	1.0000000	0.4987792	0.8000002
0.7630554	5.2508660	0.6418117	0.0755428	0.9585737	0.9982339	1.0000000	0.4987792	0.7000001
0.7630554	5.2519908	0.5701472	0.0688270	0.9585737	0.9982339	1.0000000	0.4987793	0.6000000
0.7630554	5.2536426	0.4829484	0.0576697	0.9585737	0.9982339	1.0000000	0.4987793	0.5000000
0.7630553	5.2556048	0.3805951	0.0408088	0.9585737	0.9982339	1.0000000	0.4987793	0.4000000
0.7630553	5.2569744	0.2685854	0.0226153	0.9585737	0.9982339	1.0000000	0.4987793	0.3000000
0.7630553	5.2573923	0.1609875	0.0125384	0.9585737	0.9982339	1.0000000	0.4987793	0.2000000
0.7630554	5.2574534	0.0806974	0.0102524	0.9585737	0.9982339	1.0000000	0.4987793	0.1000000
0.7630553	5.2574583	0.0509779	0.0100530	0.9585737	0.9982339	1.0000000	0.4987793	0.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7630558	5.2496559	0.7463851	0.0822251	0.9585737	0.9982339	1.0000000	0.4987792	0.9000005
0.7630555	5.2501351	0.6997644	0.0796314	0.9585737	0.9982339	1.0000000	0.4987792	0.8000002
0.7630554	5.2508660	0.6418117	0.0755428	0.9585737	0.9982339	1.0000000	0.4987792	0.7000001
0.7630554	5.2519908	0.5701472	0.0688270	0.9585737	0.9982339	1.0000000	0.4987793	0.6000000
0.7630554	5.2536426	0.4829484	0.0576697	0.9585737	0.9982339	1.0000000	0.4987793	0.5000000
0.7630553	5.2556048	0.3805951	0.0408088	0.9585737	0.9982339	1.0000000	0.4987793	0.4000000
0.7630553	5.2569744	0.2685854	0.0226153	0.9585737	0.9982339	1.0000000	0.4987793	0.3000000
0.7630553	5.2573923	0.1609875	0.0125384	0.9585737	0.9982339	1.0000000	0.4987793	0.2000000
0.7630554	5.2574534	0.0806974	0.0102524	0.9585737	0.9982339	1.0000000	0.4987793	0.1000000
0.7630553	5.2574583	0.0509779	0.0100530	0.9585737	0.9982339	1.0000000	0.4987793	0.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
0.7631339	5.2493392	0.7838566	0.0839335	0.9585668	0.9982323	1.0000000	0.4987614	1.0000000
