G1	G2	G3	G4	G5	G6	G7	G9	G10
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7630565	5.2496433	0.7464689	0.0822452	0.9585736	0.9982339	1.0000000	0.4987791	0.9000967
0.7630559	5.2501174	0.6998443	0.0796573	0.9585737	0.9982339	1.0000000	0.4987792	0.8000714
0.7630556	5.2508476	0.6418680	0.0755684	0.9585737	0.9982339	1.0000000	0.4987792	0.7000395
0.7630555	5.2519745	0.5701818	0.0688497	0.9585737	0.9982339	1.0000000	0.4987793	0.6000194
0.7630554	5.2536305	0.4829678	0.0576880	0.9585737	0.9982339	1.0000000	0.4987793	0.5000089
0.7630554	5.2555987	0.3806049	0.0408204	0.9585737	0.9982339	1.0000000	0.4987793	0.4000039
0.7630554	5.2569731	0.2685898	0.0226195	0.9585737	0.9982339	1.0000000	0.4987793	0.3000017
0.7630554	5.2573914	0.1609994	0.0125429	0.9585737	0.9982339	1.0000000	0.4987793	0.2000053
0.7630554	5.2574527	0.0807191	0.0102547	0.9585737	0.9982339	1.0000000	0.4987793	0.1000161
0.7630554	5.2574583	0.0509780	0.0100531	0.9585737	0.9982339	1.0000000	0.4987793	0.0000024
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7630565	5.2496433	0.7464689	0.0822452	0.9585736	0.9982339	1.0000000	0.4987791	0.9000967
0.7630559	5.2501174	0.6998443	0.0796573	0.9585737	0.9982339	1.0000000	0.4987792	0.8000714
0.7630556	5.2508476	0.6418680	0.0755684	0.9585737	0.9982339	1.0000000	0.4987792	0.7000395
0.7630555	5.2519745	0.5701818	0.0688497	0.9585737	0.9982339	1.0000000	0.4987793	0.6000194
0.7630554	5.2536305	0.4829678	0.0576880	0.9585737	0.9982339	1.0000000	0.4987793	0.5000089
0.7630554	5.2555987	0.3806049	0.0408204	0.9585737	0.9982339	1.0000000	0.4987793	0.4000039
0.7630554	5.2569731	0.2685898	0.0226195	0.9585737	0.9982339	1.0000000	0.4987793	0.3000017
0.7630554	5.2573914	0.1609994	0.0125429	0.9585737	0.9982339	1.0000000	0.4987793	0.2000053
0.7630554	5.2574527	0.0807191	0.0102547	0.9585737	0.9982339	1.0000000	0.4987793	0.1000161
0.7630554	5.2574583	0.0509780	0.0100531	0.9585737	0.9982339	1.0000000	0.4987793	0.0000024
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7630565	5.2496433	0.7464689	0.0822452	0.9585736	0.9982339	1.0000000	0.4987791	0.9000967
0.7630559	5.2501174	0.6998443	0.0796573	0.9585737	0.9982339	1.0000000	0.4987792	0.8000714
0.7630556	5.2508476	0.6418680	0.0755684	0.9585737	0.9982339	1.0000000	0.4987792	0.7000395
0.7630555	5.2519745	0.5701818	0.0688497	0.9585737	0.9982339	1.0000000	0.4987793	0.6000194
0.7630554	5.2536305	0.4829678	0.0576880	0.9585737	0.9982339	1.0000000	0.4987793	0.5000089
0.7630554	5.2555987	0.3806049	0.0408204	0.9585737	0.9982339	1.0000000	0.4987793	0.4000039
0.7630554	5.2569731	0.2685898	0.0226195	0.9585737	0.9982339	1.0000000	0.4987793	0.3000017
0.7630554	5.2573914	0.1609994	0.0125429	0.9585737	0.9982339	1.0000000	0.4987793	0.2000053
0.7630554	5.2574527	0.0807191	0.0102547	0.9585737	0.9982339	1.0000000	0.4987793	0.1000161
0.7630554	5.2574583	0.0509780	0.0100531	0.9585737	0.9982339	1.0000000	0.4987793	0.0000024
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7630565	5.2496433	0.7464689	0.0822452	0.9585736	0.9982339	1.0000000	0.4987791	0.9000967
0.7630559	5.2501174	0.6998443	0.0796573	0.9585737	0.9982339	1.0000000	0.4987792	0.8000714
0.7630556	5.2508476	0.6418680	0.0755684	0.9585737	0.9982339	1.0000000	0.4987792	0.7000395
0.7630555	5.2519745	0.5701818	0.0688497	0.9585737	0.9982339	1.0000000	0.4987793	0.6000194
0.7630554	5.2536305	0.4829678	0.0576880	0.9585737	0.9982339	1.0000000	0.4987793	0.5000089
0.7630554	5.2555987	0.3806049	0.0408204	0.9585737	0.9982339	1.0000000	0.4987793	0.4000039
0.7630554	5.2569731	0.2685898	0.0226195	0.9585737	0.9982339	1.0000000	0.4987793	0.3000017
0.7630554	5.2573914	0.1609994	0.0125429	0.9585737	0.9982339	1.0000000	0.4987793	0.2000053
0.7630554	5.2574527	0.0807191	0.0102547	0.9585737	0.9982339	1.0000000	0.4987793	0.1000161
0.7630554	5.2574583	0.0509780	0.0100531	0.9585737	0.9982339	1.0000000	0.4987793	0.0000024
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7630565	5.2496433	0.7464689	0.0822452	0.9585736	0.9982339	1.0000000	0.4987791	0.9000967
0.7630559	5.2501174	0.6998443	0.0796573	0.9585737	0.9982339	1.0000000	0.4987792	0.8000714
0.7630556	5.2508476	0.6418680	0.0755684	0.9585737	0.9982339	1.0000000	0.4987792	0.7000395
0.7630555	5.2519745	0.5701818	0.0688497	0.9585737	0.9982339	1.0000000	0.4987793	0.6000194
0.7630554	5.2536305	0.4829678	0.0576880	0.9585737	0.9982339	1.0000000	0.4987793	0.5000089
0.7630554	5.2555987	0.3806049	0.0408204	0.9585737	0.9982339	1.0000000	0.4987793	0.4000039
0.7630554	5.2569731	0.2685898	0.0226195	0.9585737	0.9982339	1.0000000	0.4987793	0.3000017
0.7630554	5.2573914	0.1609994	0.0125429	0.9585737	0.9982339	1.0000000	0.4987793	0.2000053
0.7630554	5.2574527	0.0807191	0.0102547	0.9585737	0.9982339	1.0000000	0.4987793	0.1000161
0.7630554	5.2574583	0.0509780	0.0100531	0.9585737	0.9982339	1.0000000	0.4987793	0.0000024
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7630565	5.2496433	0.7464689	0.0822452	0.9585736	0.9982339	1.0000000	0.4987791	0.9000967
0.7630559	5.2501174	0.6998443	0.0796573	0.9585737	0.9982339	1.0000000	0.4987792	0.8000714
0.7630556	5.2508476	0.6418680	0.0755684	0.9585737	0.9982339	1.0000000	0.4987792	0.7000395
0.7630555	5.2519745	0.5701818	0.0688497	0.9585737	0.9982339	1.0000000	0.4987793	0.6000194
0.7630554	5.2536305	0.4829678	0.0576880	0.9585737	0.9982339	1.0000000	0.4987793	0.5000089
0.7630554	5.2555987	0.3806049	0.0408204	0.9585737	0.9982339	1.0000000	0.4987793	0.4000039
0.7630554	5.2569731	0.2685898	0.0226195	0.9585737	0.9982339	1.0000000	0.4987793	0.3000017
0.7630554	5.2573914	0.1609994	0.0125429	0.9585737	0.9982339	1.0000000	0.4987793	0.2000053
0.7630554	5.2574527	0.0807191	0.0102547	0.9585737	0.9982339	1.0000000	0.4987793	0.1000161
0.7630554	5.2574583	0.0509780	0.0100531	0.9585737	0.9982339	1.0000000	0.4987793	0.0000024
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7630565	5.2496433	0.7464689	0.0822452	0.9585736	0.9982339	1.0000000	0.4987791	0.9000967
0.7630559	5.2501174	0.6998443	0.0796573	0.9585737	0.9982339	1.0000000	0.4987792	0.8000714
0.7630556	5.2508476	0.6418680	0.0755684	0.9585737	0.9982339	1.0000000	0.4987792	0.7000395
0.7630555	5.2519745	0.5701818	0.0688497	0.9585737	0.9982339	1.0000000	0.4987793	0.6000194
0.7630554	5.2536305	0.4829678	0.0576880	0.9585737	0.9982339	1.0000000	0.4987793	0.5000089
0.7630554	5.2555987	0.3806049	0.0408204	0.9585737	0.9982339	1.0000000	0.4987793	0.4000039
0.7630554	5.2569731	0.2685898	0.0226195	0.9585737	0.9982339	1.0000000	0.4987793	0.3000017
0.7630554	5.2573914	0.1609994	0.0125429	0.9585737	0.9982339	1.0000000	0.4987793	0.2000053
0.7630554	5.2574527	0.0807191	0.0102547	0.9585737	0.9982339	1.0000000	0.4987793	0.1000161
0.7630554	5.2574583	0.0509780	0.0100531	0.9585737	0.9982339	1.0000000	0.4987793	0.0000024
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7630565	5.2496433	0.7464689	0.0822452	0.9585736	0.9982339	1.0000000	0.4987791	0.9000967
0.7630559	5.2501174	0.6998443	0.0796573	0.9585737	0.9982339	1.0000000	0.4987792	0.8000714
0.7630556	5.2508476	0.6418680	0.0755684	0.9585737	0.9982339	1.0000000	0.4987792	0.7000395
0.7630555	5.2519745	0.5701818	0.0688497	0.9585737	0.9982339	1.0000000	0.4987793	0.6000194
0.7630554	5.2536305	0.4829678	0.0576880	0.9585737	0.9982339	1.0000000	0.4987793	0.5000089
0.7630554	5.2555987	0.3806049	0.0408204	0.9585737	0.9982339	1.0000000	0.4987793	0.4000039
0.7630554	5.2569731	0.2685898	0.0226195	0.9585737	0.9982339	1.0000000	0.4987793	0.3000017
0.7630554	5.2573914	0.1609994	0.0125429	0.9585737	0.9982339	1.0000000	0.4987793	0.2000053
0.7630554	5.2574527	0.0807191	0.0102547	0.9585737	0.9982339	1.0000000	0.4987793	0.1000161
0.7630554	5.2574583	0.0509780	0.0100531	0.9585737	0.9982339	1.0000000	0.4987793	0.0000024
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7630565	5.2496433	0.7464689	0.0822452	0.9585736	0.9982339	1.0000000	0.4987791	0.9000967
0.7630559	5.2501174	0.6998443	0.0796573	0.9585737	0.9982339	1.0000000	0.4987792	0.8000714
0.7630556	5.2508476	0.6418680	0.0755684	0.9585737	0.9982339	1.0000000	0.4987792	0.7000395
0.7630555	5.2519745	0.5701818	0.0688497	0.9585737	0.9982339	1.0000000	0.4987793	0.6000194
0.7630554	5.2536305	0.4829678	0.0576880	0.9585737	0.9982339	1.0000000	0.4987793	0.5000089
0.7630554	5.2555987	0.3806049	0.0408204	0.9585737	0.9982339	1.0000000	0.4987793	0.4000039
0.7630554	5.2569731	0.2685898	0.0226195	0.9585737	0.9982339	1.0000000	0.4987793	0.3000017
0.7630554	5.2573914	0.1609994	0.0125429	0.9585737	0.9982339	1.0000000	0.4987793	0.2000053
0.7630554	5.2574527	0.0807191	0.0102547	0.9585737	0.9982339	1.0000000	0.4987793	0.1000161
0.7630554	5.2574583	0.0509780	0.0100531	0.9585737	0.9982339	1.0000000	0.4987793	0.0000024
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7632632	5.2493393	0.7838566	0.0839335	0.9585556	0.9982318	1.0000000	0.4987557	1.0000000
0.7630565	5.2496433	0.7464689	0.0822452	0.9585736	0.9982339	1.0000000	0.4987791	0.9000967
0.7630559	5.2501174	0.6998443	0.0796573	0.9585737	0.9982339	1.0000000	0.4987792	0.8000714
0.7630556	5.2508476	0.6418680	0.0755684	0.9585737	0.9982339	1.0000000	0.4987792	0.7000395
0.7630555	5.2519745	0.5701818	0.0688497	0.9585737	0.9982339	1.0000000	0.4987793	0.6000194
0.7630554	5.2536305	0.4829678	0.0576880	0.9585737	0.9982339	1.0000000	0.4987793	0.5000089
0.7630554	5.2555987	0.3806049	0.0408204	0.9585737	0.9982339	1.0000000	0.4987793	0.4000039
0.7630554	5.2569731	0.2685898	0.0226195	0.9585737	0.9982339	1.0000000	0.4987793	0.3000017
0.7630554	5.2573914	0.1609994	0.0125429	0.9585737	0.9982339	1.0000000	0.4987793	0.2000053
0.7630554	5.2574527	0.0807191	0.0102547	0.9585737	0.9982339	1.0000000	0.4987793	0.1000161
0.7630554	5.2574583	0.0509780	0.0100531	0.9585737	0.9982339	1.0000000	0.4987793	0.0000024
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2479992	0.7838566	0.0907502	0.9338935	0.9980368	0.9000170	0.4987787	1.0000000
0.7630568	5.2483862	0.7464689	0.0887403	0.9338935	0.9980368	0.9000170	0.4987787	0.9000967
0.7630563	5.2489760	0.6998443	0.0856846	0.9336406	0.9980298	0.9000051	0.4987787	0.8000714
0.7630561	5.2498866	0.6418680	0.0808844	0.9335244	0.9980262	0.9000015	0.4987787	0.7000395
0.7630560	5.2512709	0.5701818	0.0730975	0.9334720	0.9980244	0.9000004	0.4987787	0.6000194
0.7630560	5.2532466	0.4829678	0.0604397	0.9334487	0.9980235	0.9000001	0.4987787	0.5000089
0.7630560	5.2554875	0.3806049	0.0419468	0.9334384	0.9980231	0.9000000	0.4987787	0.4000039
0.7630560	5.2569631	0.2685898	0.0228043	0.9334339	0.9980229	0.9000000	0.4987787	0.3000017
0.7630560	5.2573911	0.1609994	0.0125504	0.9334384	0.9980231	0.9000000	0.4987787	0.2000053
0.7630560	5.2574527	0.0807191	0.0102548	0.9334487	0.9980235	0.9000001	0.4987787	0.1000161
0.7630560	5.2574583	0.0509780	0.0100531	0.9334339	0.9980229	0.9000000	0.4987787	0.0000024
0.7630571	5.2462646	0.7838566	0.0988865	0.8898454	0.9975979	0.8000101	0.4987778	1.0000000
0.7630571	5.2462646	0.7838566	0.0988865	0.8898454	0.9975979	0.8000101	0.4987778	1.0000000
0.7630571	5.2462646	0.7838566	0.0988865	0.8898454	0.9975979	0.8000101	0.4987778	1.0000000
0.7630571	5.2462646	0.7838566	0.0988865	0.8898454	0.9975979	0.8000101	0.4987778	1.0000000
0.7630571	5.2462646	0.7838566	0.0988865	0.8898454	0.9975979	0.8000101	0.4987778	1.0000000
0.7630571	5.2462646	0.7838566	0.0988865	0.8898454	0.9975979	0.8000101	0.4987778	1.0000000
